OwnShip Hologram,Calibration Table,,,,,
,,,,,,
Colour Value (RGB),ASM Value,,,,,
,,,,,,
0,0.000000,,,,,
1,0.000010,,,,,
2,0.000055,,,,,
3,0.000156,,,,,
4,0.000319,,,,,
5,0.000567,,,,,
6,0.000801,,,,,
7,0.001114,,,,,
8,0.001447,,,,,
9,0.001837,,,,,
10,0.002346,,,,,
11,0.002737,,,,,
12,0.003323,,,,,
13,0.003910,,,,,
14,0.004496,,,,,
15,0.005082,,,,,
16,0.005473,,,,,
17,0.006060,,,,,
18,0.006646,,,,,
19,0.007233,,,,,
20,0.007819,,,,,
21,0.008405,,,,,
22,0.009100,,,,,
23,0.009969,,,,,
24,0.010360,,,,,
25,0.010947,,,,,
26,0.011700,,,,,
27,0.012315,,,,,
28,0.013097,,,,,
29,0.013879,,,,,
30,0.014661,,,,,
31,0.015443,,,,,
32,0.016224,,,,,
33,0.017006,,,,,
34,0.017593,,,,,
35,0.018472,,,,,
36,0.019548,,,,,
37,0.019988,,,,,
38,0.020916,,,,,
39,0.021307,,,,,
40,0.021698,,,,,
41,0.022700,,,,,
42,0.023470,,,,,
43,0.024239,,,,,
44,0.025021,,,,,
45,0.026096,,,,,
46,0.027171,,,,,
47,0.027953,,,,,
48,0.028735,,,,,
49,0.029712,,,,,
50,0.030592,,,,,
51,0.031472,,,,,
52,0.032000,,,,,
53,0.033035,,,,,
54,0.033817,,,,,
55,0.034404,,,,,
56,0.035700,,,,,
57,0.036749,,,,,
58,0.037336,,,,,
59,0.038118,,,,,
60,0.038900,,,,,
61,0.040268,,,,,
62,0.041050,,,,,
63,0.041832,,,,,
64,0.042809,,,,,
65,0.043982,,,,,
66,0.044764,,,,,
67,0.045546,,,,,
68,0.046719,,,,,
69,0.047892,,,,,
70,0.048478,,,,,
71,0.049846,,,,,
72,0.050628,,,,,
73,0.051410,,,,,
74,0.052778,,,,,
75,0.053560,,,,,
76,0.054342,,,,,
77,0.055711,,,,,
78,0.056800,,,,,
79,0.057861,,,,,
80,0.058643,,,,,
81,0.060207,,,,,
82,0.060793,,,,,
83,0.062357,,,,,
84,0.063000,,,,,
85,0.064000,,,,,
86,0.065289,,,,,
87,0.066657,,,,,
88,0.067439,,,,,
89,0.068808,,,,,
90,0.070371,,,,,
91,0.071153,,,,,
