Radar Mk II,Calibration Table,Note: Channels are linked. This is a very approximate guide only.,
,,,
Colour Value (RGB),,,
,R,G,B
0,0.000000,0.000000,0.000000
1,0.001500,0.000250,0.000050
2,0.003000,0.000500,0.000100
3,0.004500,0.000750,0.000150
4,0.006000,0.001000,0.000200
5,0.007500,0.001250,0.000250
6,0.009000,0.001500,0.000300
7,0.010500,0.001750,0.000350
8,0.012000,0.002000,0.000400
9,0.013500,0.002250,0.000450
10,0.015000,0.002500,0.000500
11,0.017900,0.003150,0.001140
12,0.020800,0.003800,0.001780
13,0.023700,0.004450,0.002420
14,0.026600,0.005100,0.003060
15,0.029500,0.005750,0.003700
16,0.032400,0.006400,0.004340
17,0.035300,0.007050,0.004980
18,0.038200,0.007700,0.005620
19,0.041100,0.008350,0.006260
20,0.044000,0.009000,0.006900
21,0.047000,0.009810,0.007610
22,0.050000,0.010620,0.008320
23,0.053000,0.011430,0.009030
24,0.056000,0.012240,0.009740
25,0.059000,0.013050,0.010450
26,0.062000,0.013860,0.011160
27,0.065000,0.014670,0.011870
28,0.068000,0.015480,0.012580
29,0.071000,0.016290,0.013290
30,0.074000,0.017100,0.014000
31,0.076600,0.017990,0.014820
32,0.079200,0.018880,0.015640
33,0.081800,0.019770,0.016460
34,0.084400,0.020660,0.017280
35,0.087000,0.021550,0.018100
36,0.089600,0.022440,0.018920
37,0.092200,0.023330,0.019740
38,0.094800,0.024220,0.020560
39,0.097400,0.025110,0.021380
40,0.100000,0.026000,0.022200
41,0.102600,0.026950,0.023180
42,0.105200,0.027900,0.024160
43,0.107800,0.028850,0.025140
44,0.110400,0.029800,0.026120
45,0.113000,0.030750,0.027100
46,0.115600,0.031700,0.028080
47,0.118200,0.032650,0.029060
48,0.120800,0.033600,0.030040
49,0.123400,0.034550,0.031020
50,0.126000,0.035500,0.032000
51,0.129000,0.036550,0.032900
52,0.132000,0.037600,0.033800
53,0.135000,0.038650,0.034700
54,0.138000,0.039700,0.035600
55,0.141000,0.040750,0.036500
56,0.144000,0.041800,0.037400
57,0.147000,0.042850,0.038300
58,0.150000,0.043900,0.039200
59,0.153000,0.044950,0.040100
60,0.156000,0.046000,0.041000
61,0.159000,0.047200,0.042230
62,0.162000,0.048400,0.043460
